순번	광역단체	기초단체	토건예산(2009년)	토건예산(2012년)	토건예산증감(p)	복지예산(2009년)	복지예산(2012년)	복지예산증감(p)	자살자수(2012년, 10만명 당 연령표준화)
83	경기	수원시	34.94	25.18	-9.76	15.0	24.7	9.7	25
84	경기	성남시	46.06	18.55	-27.51	16.3	26.5	10.2	22.1
85	경기	고양시	39.31	22.17	-17.14	21.1	25.8	4.7	22.5
86	경기	부천시	26.06	14.81	-11.25	22.8	26.5	3.7	25.2
87	경기	용인시	51.42	27.75	-23.67	14.0	11.3	-2.7	23.5
88	경기	안산시	32.80	21.78	-11.02	26.4	29.9	3.5	25.7
89	경기	안양시	31.98	18.45	-13.53	23.3	25.8	2.5	20.2
90	경기	남양주시	52.50	24.06	-28.44	20.8	27.2	6.4	25.4
91	경기	의정부시	53.37	26.51	-26.86	20.1	28.4	8.3	23.6
92	경기	평택시	59.54	43.84	-15.70	13.4	17.6	4.2	29.7
93	경기	시흥시	51.71	32.67	-19.04	10.9	22.8	11.9	28.5
94	경기	화성시	55.50	29.92	-25.58	12.9	22.4	9.5	28.7
95	경기	광명시	36.80	18.78	-18.02	21.6	31.1	9.5	25.5
96	경기	파주시	38.15	30.89	-7.26	17.6	20.6	3.0	28.8
97	경기	군포시	38.10	19.20	-18.90	22.1	30.3	8.2	24.8
98	경기	광주시	49.51	37.19	-12.32	14.6	18.5	3.9	32.4
99	경기	김포시	45.80	33.52	-12.28	13.1	21.1	8.0	23.3
100	경기	이천시	52.02	32.73	-19.29	15.5	19.9	4.4	27.5
101	경기	구리시	53.38	28.86	-24.52	17.7	24.0	6.3	21.2
102	경기	양주시	58.11	40.74	-17.37	13.7	20.9	7.2	35.4
103	경기	안성시	39.09	28.73	-10.36	17.1	20.0	2.9	36
104	경기	포천시	44.06	44.45	0.39	18.4	17.8	-0.6	35.3
105	경기	오산시	54.75	20.32	-34.43	12.6	27.4	14.8	26.4
106	경기	하남시	40.01	40.71	0.70	16.3	15.1	-1.2	22.3
107	경기	의왕시	54.60	30.70	-23.90	23.0	25.7	2.7	16.7
108	경기	동두천시	49.79	54.04	4.25	22.8	20.5	-2.3	27.3
109	경기	과천시	51.81	21.70	-30.11	15.2	16.8	1.6	15.2
110	경기	여주시	51.10	42.65	-8.45	13.8	15.3	1.5	37.7
111	경기	양평군	53.72	48.11	-5.61	12.4	16.0	3.6	34.4
112	경기	가평군	48.03	45.53	-2.50	17.0	17.3	0.3	35.7
113	경기	연천군	50.42	44.07	-6.35	9.6	10.7	1.1	34.9
114	강원	본청	11.58	8.79	-2.79	22.9	25.0	2.1	31.4
115	강원	춘천시	38.70	35.39	-3.31	18.8	20.3	1.5	27.5
116	강원	원주시	51.38	37.94	-13.44	17.4	23.6	6.2	28.8
117	강원	강릉시	41.54	32.92	-8.62	19.9	22.0	2.1	28.6
118	강원	동해시	45.65	38.71	-6.94	21.2	22.9	1.7	32.4
119	강원	태백시	59.45	33.17	-26.28	13.0	14.9	1.9	43
120	강원	속초시	50.42	37.03	-13.39	20.2	23.7	3.5	32.3
121	강원	삼척시	57.12	47.26	-9.86	13.8	15.8	2.0	23
122	강원	홍천군	47.47	44.48	-2.99	13.6	14.6	1.0	48.6
123	강원	횡성군	48.19	48.52	0.33	14.6	15.4	0.8	28.8
124	강원	영월군	52.56	50.93	-1.63	11.6	13.2	1.6	37.9
125	강원	평창군	52.62	47.23	-5.39	10.6	10.7	0.1	39.3
126	강원	정선군	61.14	52.04	-9.10	11.5	12.4	0.9	16.4
127	강원	철원군	53.94	43.03	-10.91	12.7	14.7	2.0	41
128	강원	화천군	62.59	57.95	-4.64	11.6	9.4	-2.2	29
129	강원	양구군	59.91	59.23	-0.68	10.2	10.6	0.4	58.4
130	강원	인제군	56.21	50.15	-6.06	10.3	12.4	2.1	42.6
131	강원	고성군	53.78	41.75	-12.03	11.9	11.8	-0.1	12.2
132	강원	양양군	51.26	48.58	-2.68	14.3	14.3	0.0	50.3
133	충북	본청	9.50	9.32	-0.18	28.6	28.9	0.3	30.6
134	충북	청주시	44.30	23.06	-21.24	26.0	35.4	9.4	25.6
135	충북	충주시	47.53	43.58	-3.95	17.6	18.1	0.5	32.2
136	충북	제천시	47.24	33.23	-14.01	17.1	22.7	5.6	40.9
137	충북	청원군	44.75	34.82	-9.93	19.4	19.2	-0.2	33.9
138	충북	보은군	44.51	32.06	-12.45	10.6	11.5	0.9	27.6
139	충북	옥천군	47.71	41.82	-5.89	15.8	16.3	0.5	39.2
140	충북	영동군	50.61	43.13	-7.48	12.4	13.9	1.5	34.1
141	충북	증평군	51.18	41.89	-9.29	16.6	15.7	-0.9	19.7
142	충북	진천군	40.36	39.23	-1.13	13.0	13.4	0.4	30.1
143	충북	괴산군	48.23	51.13	2.90	13.3	11.9	-1.4	41.9
144	충북	음성군	40.52	27.25	-13.27	19.2	20.6	1.4	31.7
145	충북	단양군	67.89	45.88	-22.01	11.4	12.3	0.9	47.9
146	충남	본청	10.22	7.08	-3.14	24.9	22.9	-2.0	30
147	충남	천안시	44.96	30.49	-14.47	20.3	22.6	2.3	30.4
148	충남	공주시	48.74	40.35	-8.39	19.6	19.4	-0.2	21.2
149	충남	보령시	47.44	34.49	-12.95	16.0	18.8	2.8	29.3
150	충남	아산시	43.61	35.79	-7.82	17.1	20.7	3.6	31
151	충남	서산시	43.26	38.28	-4.98	16.9	17.9	1.0	42.1
152	충남	논산시	44.19	35.20	-8.99	17.8	22.1	4.3	27.5
153	충남	계룡시	56.24	35.40	-20.84	13.9	15.4	1.5	7.2
154	충남	당진시	44.71	28.74	-15.97	13.0	14.5	1.5	29.8
